Week,Acrodictys,Agrocybe,Algae,Alternaria,Arthimium,Ascomycetes,Asperisporium,Basidiomycetes,Beltrania,Botrytis,Cercospora,Cladosporium,Curvularia,D. Conidia/Hyphae,Dendryphiella,Drechslera/Helmintho.,Dichotomophthora,Diplococcum,Epicoccum,Fusariella,Ganoderma,Helicomina,Microsporum,Misc. Fungus (Hyaline),Monodictys,Myxomycete/Smut,Nigrospora,Penicillium/Aspergillus,Periconia,Pithomyces,Powdery Mildew,Puccinia,Rust,Spegazinia,Stemphyllium,Tetrapola,Tilletia,Torula,Pestalotiopsis,Pseudocercospora,Polythrincium,Pleospora
00,0,0,7.6,26.6,0,1616.9,0,310.2,0,0,27.1,1544.6,14.4,0,0,18.2,0,0,11.1,0,0,0,0,0,0,158.4,11.1,135.3,8.5,2.8,0.9,0,3.5,1.5,0.5,1.2,0,2.1,0,0,0,0
01,0,0,22.4,27.6,0,1550.9,0,249.2,0,0,19.1,887.1,15.8,0,0,8,0,0,4.4,0,0,0,0,0,0,85.3,10.7,103.4,4.1,3.8,3.2,0,5.8,1.1,0.6,1,0,4.7,0,0,0,0
02,0,0,23.8,40.6,0,1101.8,0,344.7,0,0,17.8,1538.1,19.5,0,0,16.7,0,0,12.1,0,0,0,0,0,0,146.3,10.6,120.5,8.8,3.8,1.7,0,6.8,3.7,0.3,0.3,0,5.3,0,0,0,0
03,0,0,28.7,30.7,0,1674.8,0,461.5,0,0,39,2460.5,14.3,0,0,17.1,0,0,14.3,0,0,0,0,0,0,128.1,8.9,190.1,12.5,1.9,0.9,0,6.3,1.5,0.3,0.3,0,5.5,0,0,0,0
04,0,0,40.2,71.1,0,2259,0,402.5,0,0,77.3,2450.4,54.1,0,0,33.2,0,0,17.9,0,0,0,0,0,0,185.5,23.9,109.1,20.7,5.1,2.6,0,11.3,4.1,3.2,0.4,0,18,0.2,0,0,0
05,0,0,54.5,36.4,0,1539.7,0,281.1,0,0,65,2395.5,40.8,0,0,22.1,0,0,15.8,0,0,0,0,0,0,192.8,11,155.4,8.7,3.3,1.8,0,8.2,4.6,3.6,2.1,0,15.4,0,0,0,0
06,0,0,30.9,39.9,0,2568.6,0,552.6,0,0,162.5,2638.7,42.2,0,0,19.7,0,0,11.8,0,0,0,0,0,0,331.8,17.3,257.7,25.5,4.5,2.2,0,9.2,3.9,8.8,2.2,0,8.5,0,0,0,0
07,0,0,98.5,72.1,0,2780.1,0,782,0,0,155.4,3525,61.9,0,0,27.1,0,0,22,0,0,0,0,0,0,286.1,30.4,305.2,29,7.9,1.6,0,17.1,5.8,15.5,2.8,0,17.3,0,0,0,0
08,0,0,26.1,31.4,0,2312.4,0,575.2,0,0,118.2,3132.3,74.8,0,0,25.2,0,0,6.8,0,0,0,0,0,0,185,23.4,174.7,18.1,5.2,3.7,0,10.5,1.3,9.3,1,0.1,3.4,0,0,0,0
09,0,0,24.3,115.5,0,2315.1,0,671.4,0,0,112.9,3821,82.1,0,0,38.6,0,0,11.6,0,0,0,0,0,0,319.6,44,259.3,18.9,6.7,2.1,0,32,5.6,4.5,1.8,0,11,0,0,0,0
10,0,0,28.5,53.3,0,2037.3,0,673.5,0,0,116.6,3697.6,149.2,0,0,45.2,0,0,10.3,0,0,0,0,0,0,305.8,34.9,217.3,27.5,6.4,3.4,0,16.5,5.6,1.1,3.2,0,14,0,0,0,0
11,0,0,19.9,106.2,0,2433.2,0,941.3,0,0,117.4,3827.7,121.3,0,0,45.7,0,0,15.4,0,0,0,0,0,0,336.5,36.4,196.3,38.3,7.4,3,0,17.9,4.3,0.8,2.9,0,8.7,0,0,0,0
12,0,0,18.6,48.8,0,2701.3,0,798.8,0,0,89.2,2737.7,112.5,0,0,29.6,0,0,3.5,0,0,0,0,0,0,263.6,31.5,166.5,14.6,7.9,1.9,0,10.4,4.7,0.8,1.9,0,10.4,0,0,0,0
13,0,0,10,28.2,0,3629.9,0,1174.2,0,0,136.7,2690.6,161.4,0,0,42.6,0,0,4.3,0,0,0,0,0,0,247.8,34.4,231.3,22.4,7.4,2.7,0,5,2.3,1,1.9,0,7.1,0,0,0,0
14,0,0,16.3,57.8,0,3399.4,0,1041.5,0,0,226.2,3556.4,135.5,0,0,43.3,0,0,7.4,0,0,0,0,0,0,290.2,45.5,290.3,30.3,8.2,3.1,0,4.3,7.2,6.5,3,0,9,0,0,0,0
15,0,0,15.6,56.6,0,3588.1,0,1015.1,0,0,184.4,2913.1,167.6,0,0,49.3,0,0,7.3,0,0,0,0,0,0,379.6,43.6,293.5,25.6,10.3,2.1,0,7.8,6.2,6.1,2.3,0,7.6,0,0,0,0
16,0,0,23.2,58,0,3356.5,0,923.4,0,0,147.1,2467,112.7,0,0,40,0,0,5.4,0,0,0,0,0,0,255.7,41.3,271.8,29.4,6.5,2.2,0,4.9,1.7,6.5,1.7,0,4.6,0,0,0,0
17,0,0,24.2,34.8,0,4485,0,1215.4,0,0,157.7,1934.5,98.3,0,0,38.7,0,0,3.5,0,0,0,0,0,0,271,68.1,234.2,16.7,8.5,3.5,0,3.9,3.4,4.7,0.6,0,4,0,0,0,0
18,0,0,19.1,43.9,0,3697.3,0,780.8,0,0,164.3,2479.1,128.9,0,0,41.4,0,0,3.3,0,0,0,0,0,0,299.6,71.4,231.9,15.7,6.7,1.9,0,3.8,4,1,1.8,0,3.3,0,0,0,0
19,0,0,18.2,35.2,0,3782.1,0,672.1,0,0,130.6,2104.6,103.5,0,0,33.3,0,0,6.7,0,0,0,0,0,0,277.8,63.5,193.8,10.5,5.3,1.6,0,2.4,2.7,0.7,1.9,0,2.9,0,0,0,0
20,0,0,8.1,55,0,3082.2,0,583.5,0,0,119.1,3302,151,0,0,42.9,0,0,7.4,0,0,0,0,0,0,230.5,86,135.1,10.5,8.5,1.9,0,3.7,2.4,2.1,1.3,0,2.7,0,0,0,0
21,0,0,17.7,42.5,0,2786.7,0,591.8,0,0,129.3,2837.1,111.3,0,0,27.3,0,0,8.1,0,0,0,0,0,0,182.3,59.3,171.4,16.1,5.2,0.7,0,3.6,1.9,1.4,1,0,4.7,0,0,0,0
22,0,0,16.4,73.6,0,2508.6,0,467.3,0,0,157.8,3022.4,110.3,0,0,30.9,0,0,16,0,0,0,0,0,0,219.6,50.9,167.7,22.5,5.9,0.8,0,4.6,1.5,3.7,1.2,0,5.5,0,0,0,0
23,0,0,24.3,71.7,0,2643,0,772.1,0,0,161.8,3555.1,102.5,0,0,34.1,0,0,25.1,0,0,0,0,0,0,216.8,36.9,130.7,24,7.5,0.5,0,38.1,2.8,6.6,1.9,0,6.1,0,0,0,0
24,0,0,20.2,53.9,0,2396.7,0,529,0,0,130.5,1994.9,57.7,0,0,22.2,0,0,9.4,0,0,0,0,0,0,184.7,21.9,124.1,13,4.5,2.1,0,5.6,1.5,5,1.3,0,4.6,0,0,0,0.4
25,0,0,19.2,43,0,2077.2,0,732.2,0,0,76.8,1837.7,38.7,0,0,18.7,0,0,16.3,0,0,0,0,0,0,134.3,16.2,57.9,16.8,5.5,0.5,0,4.5,1.1,2.1,1.8,0,6,0,0,0,0.4
26,0,0,19.2,34.8,0,3340.5,0,701.8,0,0,40.9,1700,51.5,0,0,15,0,0,6.2,0,0,0,0,0,0,179.1,13.8,104.5,9.9,4.2,1.2,0,4.2,1.7,2,1.6,0,3.2,0,0,0,0
27,0,0,13.9,29.3,0,2336.4,0,591.1,0,0,37.7,1478.8,46.8,0,0,22.3,0,0,9.3,0,0,0,0,0,0,199.3,10.8,118.5,6.3,3.7,2.2,0,8.8,0.9,0.3,1.5,0,4.5,0,0,0,0
28,0,0,21.3,27.6,0,2862,0,665.4,0,0,35.6,1444.3,23.1,0,0,14.7,0,0,11.1,0,0,0,0,0,0,168.1,6.3,61.2,8.1,2.2,1.2,0,7.7,0.3,0.3,0.7,0,4.1,0,0,0,0
29,0,0,7.1,102.4,0,2383.6,0,615.7,0,0,49.1,2065.9,21.6,0,0,24.2,0,0,18.7,0,0,0,0,0,0,202.2,9.9,108,9.9,4.1,2.2,0,7.3,1.4,0.1,1.8,0,6.1,0,0,0,0
30,0,0,12.1,74.4,0,2850.2,0,572.4,0,0,46,2459.1,14.8,0,0,29.7,0,0,12.8,0,0,0,0,0,0,178.4,4.9,66.6,5.7,2.7,1.5,0,7.5,1.2,1.5,1.2,0,4.2,0,0,0,0
31,0,0,18.2,75.6,0,2036.7,0,569.6,0,0,78,2932.7,10.7,0,0,26.9,0,0,29.9,0,0,0,0,0,0,207.3,3.7,93.4,19,3.2,1.6,0,6.4,0.3,6.8,0.8,0,4.6,0,0,0,0
32,0,0,20.6,59.4,0,2923.7,0,466.4,0,0,72.3,2760.9,9.1,0,0,15.2,0,0,26.4,0,0,0,0,0,0,148.8,3.4,184.5,15.4,2.1,3.2,0,15,1.4,7,0.2,0,4.8,0,0,0,0
33,0,0,32.3,62.3,0,1721.9,0,342.9,0,0,60.1,2770.7,7.1,0,0,11.9,0,0,33.4,0,0,0,0,0,0,181.8,2.7,90,10,1.8,2.1,0,15,1.7,10.1,0.7,0,3.9,0,0,0,0
34,0,0,66.8,74.9,0,2017.5,0,418.6,0,0,65.8,2547.2,10.7,0,0,13.7,0,0,33.9,0,0,0,0,0,0,218.8,2,78.8,8.6,3.3,1.3,0,21.9,2.1,10.3,1.2,0.1,8.9,0,0,0,0
35,0,0,32.7,70.5,0,2246,0,457.5,0,0,24.9,2205.4,9.2,0,0,17.7,0,0,22.8,0,0,0,0,0,0,169,4.3,46.7,7.7,2.3,4.4,0,20.1,1.6,2.2,0.8,0,6.8,0,0,0,0
36,0,0,45.6,94.5,0,2565.7,0,438.3,0,0,45.9,3115.3,6.7,0,0,26.6,0,0,32.9,0,0,0,0,0,0,145.4,5,59.6,7.7,1.9,5.9,0,20.9,1.7,1.8,1.4,0,4.2,0,0,0,0
37,0,0,35.6,32,0,2346.2,0,418.2,0,0,21.8,1673.1,4.9,0,0,12.5,0,0,15.9,0,0,0,0,0,0,115,5.3,59.5,5.7,0.9,2.7,0,18.5,1.3,0.7,0.1,0,3.1,0,0,0,0
38,0,0,39.8,65.6,0,1806.6,0,356.7,0,0,31.7,2340.6,7.7,0,0,18,0,0,33.1,0,0,0,0,0,0,127.2,6.4,87.5,6.6,3.2,6.8,0,20,1.9,1.6,1.9,0,7.2,0,0,0,0
39,0,0,67.2,44,0,2082.2,0,380.4,0,0,66.1,2672.3,12.3,0,0,14.8,0,0,21.7,0,0,0,0,0,0,117.1,1.9,93.1,13.8,1.3,2.5,0,8.8,0.9,6,0.6,0,3.2,0,0,0,0
40,0,0,72.7,32.8,0,1738.6,0,300.2,0,0,72.8,1942.5,10.3,0,0,13.8,0,0,22.5,0,0,0,0,0,0,151.7,0.9,107.5,14.2,1.6,3.4,0,3.9,1.5,13.5,0.3,0,4.1,0,0,0,0
41,0,0,96.3,46.6,0,1846.6,0,350.1,0,0,41.9,1375.2,6.8,0,0,12,0,0,19.7,0,0,0,0,0,0,110.7,1.9,47.2,13,3.2,1.7,0,4.1,0.8,15.6,0.9,0,5.6,0,0,0,0
42,0,0,41.2,16.2,0,1139.9,0,298.7,0,0,31.9,1102.9,2.3,0,0,5.8,0,0,11.3,0,0,0,0,0,0,51.5,1.7,88,10.1,1,2.4,0,3.3,0.5,7.7,0.4,0,6,0,0,0,0
43,0,0,23.8,25.2,0,1357.1,0,369.2,0,0,39.2,1126.1,9.6,0,0,7.4,0,0,15.3,0,0,0,0,0,0,128.5,7.4,107.4,5.6,3.1,1.2,0,4.5,2.4,4.6,1.1,0,5.3,0,0,0,0
44,0,0,42.5,43.3,0,2003.7,0,349.5,0,0,19.5,1686.6,5.1,0,0,10.1,0,0,18,0,0,0,0,0,0,119.5,8.2,89.3,6.7,2.5,3.8,0,6.3,1.3,2.4,0.6,0,7.9,0,0,0,0
45,0,0,32,32,0,1613.6,0,349.8,0,0,10.9,1392.6,8.9,0,0,8.8,0,0,24.6,0,0,0,0,0,0,136.1,9.2,65.3,7.3,2.8,2.6,0,4.8,2.4,0.4,0.8,0,6.3,0,0,0,0
46,0,0,26.8,29.6,0,1388.8,0,266.9,0,0,12.5,1131,9.1,0,0,9.7,0,0,20.2,0,0,0,0,0,0,112,15.4,65.9,9.4,4.5,1.9,0,3.7,1.2,0.9,0.8,0,5.8,0,0,0,0
47,0,0,27.5,39.2,0,1104.7,0,188.1,0,0,19.5,1428.3,6.8,0,0,10.4,0,0,28,0,0,0,0,0,0,98.6,5.3,72.7,7.7,1.9,2.1,0,3.4,1.5,0.6,0.3,0,3.3,0,0,0,0
48,0,0,47.5,54.3,0,1739.8,0,341.5,0,0,39.4,1754,18.5,0,0,17.2,0,0,54.4,0,0,0,0,0,0,111.6,4,121.8,12.7,3.2,1.7,0,2.6,0.8,2.9,0.2,0,8.1,0,0,0,0
49,0,0,35.5,23.3,0,1176.8,0,229.7,0,0,31.8,1071.7,7.9,0,0,10.3,0,0,15.4,0,0,0,0,0,0,97.2,4.8,82.8,10.1,1.9,0.8,0,2.1,1.9,1.9,0.2,0,5.9,0,0,0,0
50,0,0,22.3,20.2,0,941.5,0,240.8,0,0,33.8,1372.6,7.3,0,0,6.2,0,0,12.8,0,0,0,0,0,0,62.3,2.1,95.7,5.2,2.3,0.5,0,1.9,0.7,1.7,0.2,0,1.4,0,0,0,0
51,0,0,66.2,36.6,0,1552.5,0,300.2,0,0,41.9,1217.2,8.9,0,0,10.5,0,0,12.5,0.3,0,0,0,0,0,101.6,9.4,165.4,12.6,3,1.8,0,3,2.5,8,0.1,0,3.4,0,0,0,0
52,0,0,37.9,26.1,0,1844.6,0,223.9,0,0,33.7,1107,7.1,0,0,9.6,0,0,23.1,7.1,0,0,0,0,0,172.2,15.8,292.2,10.4,4.9,3.1,0,5.1,5.1,8.4,0.4,0,11.8,0,0,0,0
